Tree_ID,Longitude,Latitude,Height_m,NDRE_Absolute,NDRE_Relative,Classification,Health_Status,Health_Label,Action,Block_Name,Tilt_Offset_m,Tilt_Direction,Tilt_Angle_deg,Tilt_Status,Crown_Ellipticity,Crown_Px,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Status,SR_Ref_Corrected,SR_Area_Ha
135,109.22268582826229,-0.4602624472565584,3.67,0.3393038511276245,0.5311,TBM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.682,E,10.53,Miring Ringan,1.011,15484,Suspect,Critical,Priority Survey,OK,398,3.0
395,109.22364882078168,-0.4611937567363913,3.65,0.4700088202953338,0.8772,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.275,SE,4.31,Tegak,1.002,15891,Healthy,Good,None,OK,398,3.0
753,109.22256786825932,-0.4614796463804764,3.65,0.3455658853054046,0.5475,TBM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,,,,NoData,,0,Suspect,Critical,Priority Survey,OK,398,3.0
269,109.22323961057332,-0.460758154484797,3.64,0.4396296441555023,0.7962,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,1.292,NE,19.55,Miring Sedang,1.516,11501,Normal,Moderate,Routine,OK,398,3.0
451,109.223277988183,-0.4613684473005548,3.63,0.422928899526596,0.7518,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.929,SE,14.35,Miring Ringan,1.454,11457,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
247,109.2235246653864,-0.4606631169850004,3.61,0.3918878734111786,0.6696,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.019,N,0.31,Tegak,1.0,16129,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
519,109.2230413657664,-0.4616224290863261,3.56,0.4882646799087524,0.926,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.112,S,1.81,Tegak,1.275,8411,Healthy,Good,None,OK,398,3.0
321,109.22325406480522,-0.4609433705054357,3.56,0.4634709358215332,0.8597,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.234,NE,3.76,Tegak,1.184,13560,Healthy,Good,None,OK,398,3.0
239,109.2231969673768,-0.460642594607554,3.52,0.3732547461986542,0.6204,TBM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.801,SE,12.82,Miring Ringan,1.001,16115,Suspect,Critical,Priority Survey,OK,398,3.0
427,109.22326475151009,-0.4612854321118724,3.51,0.3941105604171753,0.6755,TBM,Healthy,Sehat (Hijau),Rutin,AMEIV_C18B,0.46,N,7.47,Tegak,1.197,13723,Abnormal,Sub-Optimal,Monitor,OK,398,3.0
526,109.22375228092751,-0.4616463852095979,3.49,0.3421709835529327,0.5386,TBM,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C18B,0.084,NW,1.38,Tegak,1.219,11325,Suspect,Critical,Priority Survey,OK,398,3.0
