Tree_ID,Longitude,Latitude,Height_m,NDRE_Value,Classification,Health_Status,Action,Block_Name,NDRE_Absolute,Classification_Abs,Health_Status_Abs,Action_Abs,Block_Name_Legacy
14,109.23144106,-0.44100119,16.68,0.4711263179779053,Healthy,Healthy,,D009A,0.4711263179779053,Healthy,Good,,D09
15,109.23349471,-0.44583425,16.67,0.5664416551589966,Healthy,Healthy,,D009A,0.5664416551589966,Healthy,Good,,D09
16,109.23185169,-0.44052201,16.65,0.4888537526130676,Healthy,Healthy,,D009A,0.4888537526130676,Healthy,Good,,D09
17,109.23202572,-0.44148468,16.62,0.4741571843624115,Healthy,Healthy,,D009A,0.4741571843624115,Healthy,Good,,D09
18,109.23213195,-0.44049404,16.52,0.5467618703842163,Healthy,Healthy,,D009A,0.5467618703842163,Healthy,Good,,D09
19,109.23194772,-0.44085707,16.33,0.4097737371921539,Abnormal,Abnormal,Monitor,D009A,0.4097737371921539,Abnormal,Sub-Optimal,Monitor,D09
20,109.23172549,-0.44048942,16.24,0.5193871855735779,Healthy,Healthy,,D009A,0.5193871855735779,Healthy,Good,,D09
21,109.23234055,-0.44910979,16.11,0.4008254408836365,Abnormal,Abnormal,Monitor,D009A,0.4008254408836365,Abnormal,Sub-Optimal,Monitor,D09
22,109.23256793,-0.44105255,16.08,0.3981853723526001,Abnormal,Abnormal,Monitor,D009A,0.3981853723526001,Abnormal,Sub-Optimal,Monitor,D09
23,109.23155345,-0.44058886,16.08,0.4647184908390045,Healthy,Healthy,,D009A,0.4647184908390045,Healthy,Good,,D09
24,109.23194619,-0.44165919,15.97,0.4414575099945068,Normal,Normal,Routine,D009A,0.4414575099945068,Normal,Moderate,Routine,D09
25,109.23256399,-0.44063838,15.91,0.474809318780899,Healthy,Healthy,,D009A,0.474809318780899,Healthy,Good,,D09
26,109.23199612,-0.44132913,15.82,0.5531500577926636,Healthy,Healthy,,D009A,0.5531500577926636,Healthy,Good,,D09
27,109.23299383,-0.44623066,15.79,0.435967743396759,Normal,Normal,Routine,D009A,0.435967743396759,Normal,Moderate,Routine,D09
28,109.23319826,-0.44593591,15.75,0.4486731290817261,Normal,Normal,Routine,D009A,0.4486731290817261,Normal,Moderate,Routine,D09
29,109.2318045,-0.44066126,15.74,0.4447227716445923,Normal,Normal,Routine,D009A,0.4447227716445923,Normal,Moderate,Routine,D09
30,109.23235859,-0.44879103,15.7,0.4634033143520355,Healthy,Healthy,,D009A,0.4634033143520355,Healthy,Good,,D09
31,109.23192668,-0.44059573,15.68,0.4646147787570953,Healthy,Healthy,,D009A,0.4646147787570953,Healthy,Good,,D09
32,109.23139666,-0.44073441,15.66,0.4770970046520233,Healthy,Healthy,,D009A,0.4770970046520233,Healthy,Good,,D09
33,109.23144648,-0.44091302,15.59,0.4647548794746399,Healthy,Healthy,,D009A,0.4647548794746399,Healthy,Good,,D09
34,109.23206351,-0.4487801,15.58,0.4788174331188202,Healthy,Healthy,,D009A,0.4788174331188202,Healthy,Good,,D09
35,109.23236237,-0.44043803,15.51,0.4448981583118438,Normal,Normal,Routine,D009A,0.4448981583118438,Normal,Moderate,Routine,D09
36,109.23224138,-0.44119173,15.5,0.4691901206970215,Healthy,Healthy,,D009A,0.4691901206970215,Healthy,Good,,D09
37,109.23158127,-0.44067387,15.5,0.4584364891052246,Normal,Normal,Routine,D009A,0.4584364891052246,Normal,Moderate,Routine,D09
38,109.23234518,-0.44289048,15.47,0.4814794659614563,Healthy,Healthy,,D009A,0.4814794659614563,Healthy,Good,,D09
39,109.23150447,-0.44068018,15.42,0.4282420575618744,Abnormal,Abnormal,Monitor,D009A,0.4282420575618744,Abnormal,Sub-Optimal,Monitor,D09
40,109.23212158,-0.44066857,15.26,0.4004049003124237,Abnormal,Abnormal,Monitor,D009A,0.4004049003124237,Abnormal,Sub-Optimal,Monitor,D09
41,109.23228677,-0.44485189,15.21,0.4269171059131622,Abnormal,Abnormal,Monitor,D009A,0.4269171059131622,Abnormal,Sub-Optimal,Monitor,D09
42,109.23237216,-0.44274625,15.17,0.487303227186203,Healthy,Healthy,,D009A,0.487303227186203,Healthy,Good,,D09
43,109.23207852,-0.44042847,15.13,0.4612445533275604,Healthy,Healthy,,D009A,0.4612445533275604,Healthy,Good,,D09
44,109.23213055,-0.44264989,15.05,0.4079304933547973,Abnormal,Abnormal,Monitor,D009A,0.4079304933547973,Abnormal,Sub-Optimal,Monitor,D09
45,109.23159541,-0.44165413,15.02,0.4329649209976196,Normal,Normal,Routine,D009A,0.4329649209976196,Normal,Moderate,Routine,D09
