Tree_ID,Longitude,Latitude,Height_m,NDRE_Absolute,NDRE_Relative,Classification,Height_Class,Health_Status,Health_Label,Action,Block_Name,Classification_Abs,Health_Status_Abs,Action_Abs,Was_Reclassified
437,109.230744619843,-0.4452968700429259,7.8,0.4397545754909515,0.4722,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
462,109.22412043897812,-0.4453389254516325,7.8,0.4670373499393463,0.6319,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Healthy,Good,None,False
988,109.22837504956544,-0.4461556981550518,7.8,0.3633291721343994,0.0276,TM,TM_Muda,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
93,109.22837049091454,-0.4461281226808558,7.77,0.4202091097831726,0.3581,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
109,109.23031522872706,-0.4463744656453509,7.77,0.4520507454872131,0.5441,TM,TM_Dewasa,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
22,109.22273266586966,-0.445095015794235,7.75,0.4793519973754883,0.7042,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
433,109.22396295096917,-0.4452860364954801,7.72,0.435263842344284,0.446,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Normal,Moderate,Routine,False
826,109.222305623832,-0.4458991619262727,7.72,0.4276201426982879,0.4013,TM,TM_Muda,Moderate,Perhatian (Kuning),Monitoring,AMEIV_C13,Abnormal,Sub-Optimal,Monitor,False
113,109.22527745881246,-0.4464582639806007,7.69,0.4762915968894958,0.6862,TM,TM_Dewasa,Healthy,Sehat (Hijau),Rutin,AMEIV_C13,Healthy,Good,None,False
350,109.22971061989534,-0.4451725353254658,7.68,0.3763983845710754,0.1033,TM,TM_Muda,Critical,Kritis (Merah),Gali Parit Isolasi,AMEIV_C13,Suspect,Critical,Priority Survey,False
